"str","str_rank","type"
102.8,17,1
99.58,15,1
79.38,2,1
102.48,16,1
142.72,58,2
108.84,24,2
81.65,3,2
126.67,40,2
105.76,20,2
89.64,7,2
131.63,47,2
82.96,4,2
75.8,1,2
97.04,12,2
140.04,54,2
91.06,8,2
107.32,23,2
120.78,36,2
99.33,13,2
93.58,9,2
99.45,14,2
96.48,11,2
84.85,6,2
117.5,31,2
121.02,38,3
106.26,22,3
120.84,37,3
139.37,53,3
157.18,67,3
129.8,45,3
153.04,65,3
134.21,48,3
141.06,55,3
113.27,26,3
112.78,25,3
94.89,10,3
115.43,29,3
119.5,33,3
131.3,46,4
105.96,21,4
137.45,51,4
166.9,71,4
104.22,19,4
127.95,41,4
136.24,49,4
138.57,52,4
129.1,43,4
158.39,69,4
157.63,68,4
83.79,5,4
154.67,66,4
161.17,70,4
128.85,42,4
141.78,56,4
142.63,57,4
145.51,59,4
149.9,63,4
150.87,64,4
103.89,18,4
146.9,61,4
113.45,27,4
117.39,30,4
148.55,62,4
136.43,50,4
129.76,44,4
113.78,28,4
119.52,34,4
118.06,32,4
120.49,35,4
125.98,39,4
146.89,60,4
